timer,roll,pitch,yaw,accel_x,accel_y,accel_z
 0.97929, 0.99381,-0.13306,-2.76404, 0.90574, 0.33948, 1.23044
 0.98037, 0.97418,-0.12872,-2.79219, 0.91558, 0.31815, 1.26841
 0.98145, 0.95466,-0.12477,-2.82021, 0.92548, 0.29712, 1.30491
 0.98254, 0.93525,-0.12122,-2.84813, 0.93540, 0.27639, 1.33979
 0.98362, 0.91596,-0.11804,-2.87595, 0.94376, 0.25982, 1.36486
 0.98470, 0.89906,-0.10354,-2.92240, 0.95212, 0.24372, 1.38798
 0.98993, 0.87820,-0.09962,-2.95278, 0.96292, 0.22456, 1.40860
 0.99101, 0.85732,-0.09603,-2.98332, 0.97402, 0.20520, 1.42713
 0.99210, 0.83638,-0.09273,-3.01405, 0.98531, 0.18570, 1.44351
 0.99319, 0.81539,-0.08972,-3.04495, 0.99682, 0.16595, 1.45775
 0.99428, 0.79433,-0.08700,-3.07600, 1.00848, 0.14588, 1.46974
 0.99537, 0.77319,-0.08458,-3.10719, 1.02027, 0.12544, 1.47948
 0.99646, 0.75197,-0.08246,-3.13849, 1.03222, 0.10459, 1.48703
 0.99755, 0.73067,-0.08066, 3.11330, 1.04436, 0.08334, 1.49240
 0.99863, 0.70928,-0.07920, 3.08184, 1.05665, 0.06161, 1.49547
 0.99972, 0.68889,-0.06713, 3.02807, 1.06772, 0.04257, 1.49169
 1.00493, 0.66432,-0.06512, 2.99389, 1.08202, 0.01779, 1.47868
 1.00602, 0.63977,-0.06381, 2.95995, 1.09680,-0.00749, 1.46338
 1.00711, 0.61529,-0.06322, 2.92629, 1.11188,-0.03297, 1.44628
 1.00820, 0.59097,-0.06336, 2.89294, 1.12721,-0.05861, 1.42754
 1.00929, 0.56682,-0.06422, 2.85990, 1.14275,-0.08428, 1.40734
 1.01037, 0.54291,-0.06582, 2.82719, 1.15849,-0.10986, 1.38571
 1.01146, 0.51928,-0.06815, 2.79481, 1.17431,-0.13522, 1.36267
 1.01255, 0.49595,-0.07118, 2.76275, 1.19031,-0.16030, 1.33847
 1.01363, 0.47297,-0.07490, 2.73113, 1.20653,-0.18503, 1.31325
 1.01472, 0.45032,-0.07927, 2.70010, 1.22290,-0.20955, 1.28721
 1.01581, 0.42798,-0.08424, 2.66974, 1.23708,-0.23092, 1.26144
 1.01691, 0.41104,-0.08945, 2.62535, 1.25121,-0.25226, 1.23563
 1.02211, 0.38914,-0.09578, 2.59624, 1.26696,-0.27517, 1.20873
 1.02320, 0.36785,-0.10270, 2.56781, 1.28261,-0.29748, 1.18232
 1.02428, 0.34722,-0.11015, 2.54006, 1.29809,-0.31909, 1.15658
 1.02537, 0.32727,-0.11811, 2.51298, 1.31345,-0.33989, 1.13178
 1.02646, 0.30800,-0.12654, 2.48659, 1.32866,-0.35976, 1.10810
 1.02754, 0.28944,-0.13539, 2.46090, 1.34366,-0.37871, 1.08560
 1.02863, 0.27163,-0.14462, 2.43588, 1.35850,-0.39671, 1.06450
 1.02971, 0.25460,-0.15419, 2.41158, 1.37322,-0.41369, 1.04509
 1.03079, 0.23832,-0.16405, 2.38801, 1.38479,-0.42425, 1.03468
 1.03187, 0.24007,-0.18254, 2.34206, 1.39599,-0.43386, 1.02681
 1.03714, 0.22648,-0.19282, 2.32106, 1.41104,-0.44460, 1.02861
 1.03823, 0.21362,-0.20327, 2.30066, 1.42648,-0.45474, 1.03339
 1.03931, 0.20147,-0.21384, 2.28086, 1.44218,-0.46420, 1.04070
 1.04040, 0.19003,-0.22450, 2.26165, 1.45815,-0.47304, 1.05066
 1.04149, 0.17925,-0.23523, 2.24299, 1.47437,-0.48139, 1.06323
 1.04258, 0.16911,-0.24599, 2.22484, 1.49074,-0.48932, 1.07825
 1.04367, 0.15958,-0.25678, 2.20716, 1.50726,-0.49685, 1.09563
 1.04476, 0.15062,-0.26757, 2.18994, 1.52401,-0.50376, 1.11521
 1.04585, 0.14222,-0.27835, 2.17315, 1.54101,-0.50972, 1.13679
 1.04696, 0.13435,-0.28909, 2.15679, 1.55819,-0.51447, 1.16034
 1.04804, 0.14632,-0.31077, 2.11795, 1.57397,-0.51649, 1.18698
 1.05325, 0.14044,-0.32116, 2.10255, 1.59435,-0.51556, 1.22244
 1.05434, 0.13503,-0.33150, 2.08734, 1.61561,-0.51349, 1.25965
